order,family,scientific name,common name,description,region,source
Mylobatiformes,,Himantura undulata,bleeker's variegated whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Pastinachus atrus,broad cowtail ray,occurrence,,Sievers et al. 2019: Cerutti-Pereyra et al. 2014
Mylobatiformes,,Maculabatis toshi,brown whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Pastinachus sephen,cowtail ray,occurrence,,Sievers et al. 2019: White and Potter 2004
Mylobatiformes,,Urotrygon nana,dwarf round stingray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Pateobatis hortlei,hortle's whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Himantura leoparda,leopard whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Urogymnus granulata,mangrove whipray,occurrence,,Sievers et al. 2019: Davy et al. 2015
Mylobatiformes,,Aetomylaeus vespertilio,ornate eagle ray,occurrence,,Sievers et al. 2019: White and Potter 2004
Mylobatiformes,,Urogymnus asperrimus,porcupine ray,occurrence,,Sievers et al. 2019: Cerutti-Pereyra et al. 2014
Mylobatiformes,,Himantura uarnak,reticulate whipray,occurrence,,"Sievers et al 2019: White and Potter 2004, Cerutti-Pereyra et al. 2014"
Mylobatiformes,,Pastinachus solocirostris,roughnose stingray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Maculabatis pastinacoides,round whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Brevitrygon imbricata,scaly whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Hypanus americanus,southern stingray,occurrence,,Sievers et al. 2019: Jennings et al. 2012
Mylobatiformes,,Urogymnus lobistoma,tubemouth whipray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Urobatis tumbesensis,tumbes round stingray,,,Sievers et al. 2019: IUCN Assessment
Mylobatiformes,,Aeobatus narinari,whitespotted eagle rays,,,Sievers et al. 2019: Jennings et al. 2012
Mylobatiformes,,Urobatis jamaicensis,yellow stingray,,,Sievers et al. 2019: Jennings et al. 2012
Orectolobiformes,,Chiloscyllium arabicum,Arabian carpetshark,,,Sievers et al. 2019: IUCN Assessment
Orectolobiformes,,Ginglymostoma cirratum,nurse shark,occurrence,,Sievers et al. 2019: Jennings et al. 2012
Rhinopristiformes,,Pristis clavata,dwarf sawfish,occurrence,,Sievers et al. 2019: Peverell 2005
Rhinopristiformes,,Glaucostegus typus,giant shovelnose ray,occurrence,,"Sievers et al. 2019: Cerutti-Pereyra et al. 2014, White and Potter 2004"
Rhinopristiformes,,Rhinobatos penggali,Indonesian guitarfish,,,Sievers et al. 2019: IUCN Assessment
Rhinopristiformes,,Pristis zijsron,green sawafish,"breeding, occurrence",,"Sievers et al. 2019: Breeding - Morgan et al. 2015, Occurrence - White and Potter 2004"
Rhinopristiformes,,Pristis pristis,largetooth sawfish,occurrence,,Sievers et al. 2019: Peverell 2005
Rhinopristiformes,,Anoxypristis cuspidata,narrow sawfish,occurrence,,Sievers et al. 2019: Peverell 2005
Rhinopristiformes,,Pristis pectinata,smalltooth sawfish,"occurrence, breeding",,"Sievers et al. 2019: Papastamatiou et al. 2015, Guttridge et al. 2015, Jennings et al. 2012, Simpfendorfer et al 2010"
Torpediniformes,,Narcine leoparda,leopard numbfish,,,Sievers et al. 2019: IUCN Assessment
Crocodylia,,,,"occurrence, foraging, nesting, breeding",,Sievers et al 2019: see SI for specific reference list
